Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-12-28,190.91,190.98,189.64,189.78,3175631.0,0.0,1.0,177.5442795479532,177.6093788071243,176.36319298870592,176.49339150704813,3175631.0
2017-12-27,190.6,191.49,190.01,190.19,5912613.0,0.0,1.0,177.25598282876686,178.0836734096567,176.70728907289606,176.8746871679075,5912613.0
2017-12-26,188.53,190.42,188.34,190.36,2969182.0,0.0,1.0,175.33090473613547,177.08858473375543,175.15420674695673,177.03278536875163,2969182.0
2017-12-22,188.2,188.46,187.27,188.13,3256519.0,0.0,1.0,175.0240082286145,175.26580547696435,174.15911807105547,174.9589089694434,3256519.0
2017-12-21,187.7,188.84,187.44,188.08,5859058.0,0.0,1.0,174.5590135202494,175.61920145532181,174.31721627189958,174.9124094986069,5859058.0
2017-12-20,187.14,187.9024,186.035,187.31,5383672.0,0.0,1.0,174.03821944688053,174.7472433781956,173.01058114139371,174.19631764772467,5383672.0
2017-12-19,185.235,186.72,184.6,185.98,4496706.0,0.0,1.0,172.2665896080096,173.64762389185387,171.67604632838595,172.95943172347356,4496706.0
2017-12-18,183.96,185.47,183.5,184.73,5011827.0,0.0,1.0,171.08085310167866,172.48513712094118,170.6530579699828,171.79694495256086,5011827.0
2017-12-15,183.005,183.21,182.13,182.58,8201699.0,0.0,1.0,170.19271320870135,170.38336103913105,169.3789724690625,169.79746770659105,8201699.0
2017-12-14,183.88,184.0,182.06,182.13,3542677.0,0.0,1.0,171.00645394834024,171.11805267834788,169.31387320989137,169.3789724690625,3542677.0
2017-12-13,182.01,183.67,182.0,183.03,5176749.0,0.0,1.0,169.26737373905485,170.8111561708269,169.25807384488758,170.2159629441196,5176749.0
2017-12-12,182.75,183.21,181.66,181.8,5274935.0,0.0,1.0,169.9555659074352,170.38336103913105,168.9418774431993,169.07207596154154,5274935.0
2017-12-11,182.9,182.96,181.1201,182.25,6038891.0,0.0,1.0,170.0950643199447,170.15086368494852,168.4397761571067,169.4905711990701,6038891.0
2017-12-08,182.5,183.9,182.16,183.41,5091538.0,0.0,1.0,169.72306855325263,171.02505373667486,169.4068721515644,170.56935892247708,5091538.0
2017-12-07,180.05,182.58,179.77,182.0,5484611.0,0.0,1.0,167.44459448226377,169.79746770659105,167.18419744557934,169.25807384488758,5484611.0
2017-12-06,180.25,182.15,178.68,180.8,6891093.0,0.0,1.0,167.6305923656098,169.3975722573971,166.17050898134346,168.1420865448114,6891093.0
2017-12-05,184.79,184.91,182.2589,182.85,6347228.0,0.0,1.0,171.85274431756469,171.9643430475723,169.49884810487902,170.04856484910817,6347228.0
2017-12-04,183.19,186.31,183.19,184.9,6192507.0,0.0,1.0,170.36476125079645,173.26632823099453,170.36476125079645,171.955043153405,6192507.0
2017-12-01,180.32,180.6,176.7,180.42,4682482.0,0.0,1.0,167.6956916247809,167.95608866146534,164.32912993621775,167.7886905664539,4682482.0
2017-11-30,178.07,180.67,177.41,179.82,9179321.0,0.0,1.0,165.60321543713806,168.02118792063646,164.98942242209617,167.23069691641584,9179321.0
2017-11-29,176.57,178.43,175.68,177.25,4901810.0,0.89,1.0,164.20823131204284,165.93801162716093,163.38054073115302,164.84062411541933,4901810.0
2017-11-28,174.89,176.77,172.9911,176.57,6048963.0,0.0,1.0,161.8332589623088,163.57290403549277,160.07612490408061,163.38783541068597,6048963.0
2017-11-27,172.87,174.91,172.38,174.16,4539428.0,0.0,1.0,159.96406585176013,161.8517658247895,159.51064772098343,161.15775848176398,4539428.0
2017-11-24,172.11,173.1,171.7425,172.33,1853587.0,0.0,1.0,159.26080507749427,160.17689477028793,158.92074147941176,159.46438056478175,1853587.0
2017-11-22,172.89,172.94,172.04,172.06,4132897.0,0.0,1.0,159.98257271424077,160.02883987044248,159.19603105881188,159.21453792129256,4132897.0
2017-11-21,170.53,172.86,170.15,172.86,6228970.0,0.0,1.0,157.79876294152052,159.95481242051977,157.4471325543876,159.95481242051977,6228970.0
2017-11-20,168.14,170.69,167.8,170.45,4697484.0,0.0,1.0,155.5871928750792,157.94681784136597,155.27257621290767,157.72473549159778,4697484.0
2017-11-17,167.0,168.43,166.06,167.74,4530027.0,0.0,1.0,154.53230171368045,155.8555423810491,153.66247917708847,155.21705562546563,4530027.0
2017-11-16,166.68,167.76,166.06,167.5,4585477.0,0.0,1.0,154.23619191398956,155.23556248794628,153.66247917708847,154.99497327569745,4585477.0
2017-11-15,167.44,167.44,165.35,165.47,5534520.0,0.0,1.0,154.93945268825541,154.93945268825541,153.00548555902432,153.11652673390842,5534520.0
2017-11-14,163.62,168.14,163.15,168.06,10281508.0,0.0,1.0,151.40464195444548,155.5871928750792,150.9697306861495,155.5131654251565,10281508.0
2017-11-13,164.64,166.64,164.25,165.35,7175307.0,0.0,1.0,152.34849194096014,154.19917818902817,151.9876081225869,153.00548555902432,7175307.0
2017-11-10,163.34,164.58,162.93,164.11,3554220.0,0.0,1.0,151.14554587971597,152.29297135351814,150.766155198862,151.85806008522215,3554220.0
2017-11-09,164.1,164.135,162.28,163.27,3381255.0,0.0,1.0,151.8488066539818,151.881193663323,150.1646821682399,151.08077186103358,3381255.0
2017-11-08,163.34,164.68,163.27,164.05,2661622.0,0.0,1.0,151.14554587971597,152.38550566592153,151.08077186103358,151.80253949778012,2661622.0
2017-11-07,164.09,164.4,162.83,163.66,3198129.0,0.0,1.0,151.83955322274147,152.12640959119202,150.67362088645862,151.44165567940684,3198129.0
2017-11-06,164.8,164.88,163.01,164.22,3275219.0,0.0,1.0,152.49654684080562,152.57057429072833,150.84018264878472,151.9598478288659,3275219.0
2017-11-03,163.01,164.99,162.68,164.39,3080591.0,0.0,1.0,150.84018264878472,152.67236203437207,150.5348194178535,152.11715615995166,3080591.0
2017-11-02,165.01,165.01,160.53,162.71,6517095.0,0.0,1.0,152.69086889685275,152.69086889685275,148.54533170118037,150.56257971157453,6517095.0
2017-11-01,166.42,166.74,165.12,165.38,3568321.0,0.0,1.0,153.9956027017407,154.29171250143162,152.7926566404965,153.03324585274532,3568321.0
2017-10-31,165.4,166.34,165.1,165.78,2922416.0,0.0,1.0,153.05175271522603,153.921575251818,152.7741497780158,153.40338310235896,2922416.0
2017-10-30,166.99,166.99,164.88,165.31,3906231.0,0.0,1.0,154.5230482824401,154.5230482824401,152.57057429072833,152.96847183406297,3906231.0
2017-10-27,166.8,167.75,166.46,167.34,3720385.0,0.0,1.0,154.34723308887365,155.22630905670596,154.03261642670208,154.84691837585203,3720385.0
2017-10-26,166.39,167.94,166.1068,167.65,3750129.0,0.0,1.0,153.9678424080197,155.4021242502724,153.70578523529326,155.13377474430257,3750129.0
2017-10-25,166.11,166.95,165.3803,166.09,2945980.0,0.0,1.0,153.70874633329018,154.48603455747875,153.03352345568257,153.6902394708095,2945980.0
2017-10-24,164.67,166.46,164.65,166.03,3686538.0,0.0,1.0,152.37625223468117,154.03261642670208,152.35774537220053,153.63471888336744,3686538.0
2017-10-23,164.04,166.265,163.75,164.74,3995025.0,0.0,1.0,151.79328606653976,153.85217451751544,151.5249365605699,152.4410262533636,3995025.0
2017-10-20,163.97,164.15,162.74,163.43,4166481.0,0.0,1.0,151.72851204785738,151.8950738101835,150.59034000529556,151.22882676087903,4166481.0
2017-10-19,163.5,164.11,162.77,163.24,2675062.0,0.0,1.0,151.2936007795614,151.85806008522215,150.61810029901656,151.05301156731255,2675062.0
2017-10-18,163.42,164.24,163.35,163.45,2758595.0,0.0,1.0,151.21957332963865,151.97835469134657,151.1547993109563,151.24733362335968,2758595.0
2017-10-17,164.22,164.92,161.5111,163.35,4189096.0,0.0,1.0,151.9598478288659,152.6075880156897,149.45318584017014,151.1547993109563,4189096.0
2017-10-16,164.47,164.67,163.26,164.22,2586716.0,0.0,1.0,152.1911836098744,152.37625223468117,151.07151842979323,151.9598478288659,2586716.0
2017-10-13,164.92,166.0699,164.35,164.47,3258984.0,0.0,1.0,152.6075880156897,153.6716400740164,152.0801424349903,152.1911836098744,3258984.0
2017-10-12,165.41,165.41,164.47,164.59,3397775.0,0.0,1.0,153.06100614646635,153.06100614646635,152.1911836098744,152.30222478475847,3397775.0
2017-10-11,165.19,165.865,164.45,165.25,2319274.0,0.0,1.0,152.85743065917887,153.48203726790186,152.1726767473937,152.9129512466209,2319274.0
2017-10-10,165.7,165.8,164.64,165.16,2755398.0,0.0,1.0,153.32935565243622,153.42188996483964,152.34849194096014,152.82967036545784,2755398.0
2017-10-09,166.14,166.63,165.42,165.71,2131587.0,0.0,1.0,153.73650662701118,154.18992475778785,153.07025957770668,153.33860908367657,2131587.0
2017-10-06,166.18,166.63,165.74,165.85,2916121.0,0.0,1.0,153.77352035197256,154.18992475778785,153.3663693773976,153.46815712104132,2916121.0
2017-10-05,165.07,166.25,164.26,166.12,3504865.0,0.0,1.0,152.74638948429478,153.83829437065492,151.99686155382724,153.7179997645305,3504865.0
2017-10-04,165.49,166.08,164.91,165.29,2746513.0,0.0,1.0,153.1350335963891,153.68098603956918,152.59833458444936,152.94996497158226,2746513.0
2017-10-03,164.06,165.28,164.0,165.17,3046281.0,0.0,1.0,151.81179292902044,152.94071154034194,151.7562723415784,152.8389237966982,3046281.0
2017-10-02,164.2,164.25,163.22,164.02,2721377.0,0.0,1.0,151.94134096638518,151.9876081225869,151.03450470483187,151.7747792040591,2721377.0
2017-09-29,162.5,163.61,162.15,163.56,3465252.0,0.0,1.0,150.36825765552737,151.39538852320516,150.04438756211547,151.34912136700345,3465252.0
2017-09-28,160.72,162.45,160.66,162.36,4613200.0,0.0,1.0,148.72114689474682,150.32199049932566,148.6656263073048,150.23870961816263,4613200.0
2017-09-27,161.38,161.69,160.14,160.92,3966113.0,0.0,1.0,149.33187335660926,149.61872972505984,148.1844478828071,148.90621551955363,3966113.0
2017-09-26,161.55,162.0,160.79,161.26,3222646.0,0.0,1.0,149.48918168769507,149.90558609351038,148.7859209134292,149.2208321817252,3222646.0
2017-09-25,160.05,161.43,159.75,161.1,4896374.0,0.0,1.0,148.10116700164406,149.378140512811,147.82356406443384,149.07277728187975,4896374.0
2017-09-22,159.14,160.09,159.01,159.97,3576079.0,0.0,1.0,147.25910475877308,148.1381807266054,147.13881015264866,148.02713955172132,3576079.0
2017-09-21,158.87,159.556,158.72,159.19,3082093.0,0.0,1.0,147.00926211528392,147.64404749837126,146.8704606466788,147.30537191497478,3082093.0
2017-09-20,157.57,159.39,157.36,158.68,4598009.0,0.0,1.0,145.80631605403968,147.4904405397816,145.61199399799256,146.83344692171744,4598009.0
2017-09-19,157.8,158.32,157.16,157.66,3712727.0,0.0,1.0,146.01914497256752,146.5003233970652,145.42692537318572,145.88959693520275,3712727.0
2017-09-18,159.0,159.0,157.69,157.81,4010587.0,0.0,1.0,147.12955672140833,147.12955672140833,145.91735722892378,146.02839840380784,4010587.0
2017-09-15,159.98,159.99,158.29,158.4,9124244.0,0.0,1.0,148.03639298296164,148.045646414202,146.47256310334416,146.57435084698793,9124244.0
2017-09-14,160.35,160.85,159.33,159.38,5287433.0,0.0,1.0,148.37876993885425,148.84144150087124,147.43491995233956,147.48118710854126,5287433.0
2017-09-13,160.39,161.38,159.55,160.02,4713676.0,0.0,1.0,148.4157836638156,149.33187335660926,147.63849543962704,148.07340670792303,4713676.0
2017-09-12,159.06,160.93,158.71,159.91,5793753.0,0.0,1.0,147.18507730885037,148.91546895079398,146.86120721543847,147.9716189642793,5793753.0
